proper_leadoff,run_production_cascade,best_nine,penalty
0,0.009,0.868,0.877
0,0.012,0.868,0.88
0,0.013,0.868,0.881
0,0.014,0.868,0.882
0,0.015,0.868,0.883
0,0.016,0.868,0.884
0,0.017,0.868,0.885
0,0.018,0.868,0.886
0,0.019,0.868,0.887
0,0.02,0.868,0.888
0,0.021,0.868,0.889
0,0.022,0.868,0.89
0,0.023,0.868,0.891
0,0.024,0.868,0.892
0,0.025,0.868,0.893
0,0.026,0.868,0.894
0,0.027,0.868,0.895
0,0.028,0.868,0.896
0,0.029,0.868,0.897
0,0.03,0.868,0.898
0,0.031,0.868,0.899
0,0.032,0.868,0.9
0,0.033,0.868,0.901
0,0.034,0.868,0.902
0,0.035,0.868,0.903
0,0.036,0.868,0.904
0,0.037,0.868,0.905
0,0.038,0.868,0.906
0,0.039,0.868,0.907
0,0.04,0.868,0.908
0,0.041,0.868,0.909
0,0.042,0.868,0.91
0,0.043,0.868,0.911
0,0.044,0.868,0.912
0,0.045,0.868,0.913
0,0.046,0.868,0.914
0,0.047,0.868,0.915
0,0.048,0.868,0.916
0,0.049,0.868,0.917
0,0.051,0.868,0.919
0,0.048,1.038,1.086
1,0.03,0.868,1.8980000000000001
1,0.034,0.868,1.9020000000000001
1,0.043,0.868,1.911
1,0.051,0.868,1.919
